,NumberOfTime30-59DaysPastDueNotWorse,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,bins_age,bins_MonthlyIncome,bins_RevolvingUtilizationOfUnsecuredLines,bins_DebtRatio
108272,0,4,0,1,0,2.0,3,2,0,1
54684,0,11,0,2,0,0.0,9,5,0,3
132333,0,19,0,2,0,2.0,5,6,3,3
83141,0,6,0,1,0,0.0,5,5,1,3
71761,0,7,0,2,0,2.0,6,3,1,2
22080,0,15,1,2,3,1.0,6,5,2,2
87808,0,14,0,2,0,3.0,6,9,1,1
128558,1,7,0,1,0,2.0,3,3,3,2
108405,0,7,0,1,0,1.0,6,7,1,1
124901,0,4,0,0,0,0.0,2,0,2,3
9016,0,10,0,2,0,0.0,6,9,0,0
60191,0,3,0,0,0,0.0,12,3,0,0
18936,1,5,0,2,0,0.0,9,5,0,3
133859,0,3,0,1,0,2.0,6,2,3,3
23526,0,6,0,1,0,1.0,3,3,2,2
51537,0,7,0,0,0,0.0,3,3,3,1
73339,0,7,0,2,0,0.0,7,2,1,2
109192,0,9,0,0,0,0.0,7,5,0,3
125566,2,5,2,0,1,0.0,9,5,0,3
10961,0,1,0,0,0,0.0,12,6,0,0
9661,0,5,0,0,0,0.0,11,3,0,0
104620,0,4,2,0,0,0.0,4,6,0,0
65971,0,24,0,0,0,0.0,10,3,0,0
127720,1,2,1,0,1,4.0,5,6,3,0
7553,0,4,0,0,0,0.0,5,5,1,0
43464,0,2,0,0,0,1.0,9,1,2,0
79476,0,2,2,0,0,0.0,1,0,3,0
110670,0,11,0,1,0,4.0,5,9,2,1
9875,0,21,0,1,0,0.0,9,3,3,2
63824,0,7,0,2,0,0.0,7,5,0,3
67204,0,16,0,0,0,0.0,12,3,1,1
124053,0,14,0,7,0,0.0,6,5,2,3
120162,0,9,0,1,0,0.0,7,6,0,0
87573,0,9,0,2,0,1.0,11,7,3,2
66282,0,7,0,1,0,1.0,3,5,1,0
112325,0,16,0,0,0,0.0,8,9,1,0
5311,0,9,0,1,0,0.0,11,5,1,3
133207,0,0,1,0,0,1.0,2,2,3,0
56569,0,7,0,1,0,1.0,7,5,1,3
36071,0,6,0,1,0,1.0,6,3,3,2
37880,1,3,0,0,0,2.0,4,2,0,0
123734,1,10,0,0,0,0.0,2,1,2,3
21344,0,12,0,1,0,0.0,3,9,0,0
14605,1,6,0,1,0,0.0,7,5,0,3
79194,0,3,0,0,0,0.0,8,4,1,0
10809,0,4,0,0,0,1.0,3,2,3,2
139294,0,5,0,0,0,0.0,8,7,3,1
106064,1,14,0,1,0,2.0,8,5,2,3
4797,0,7,0,1,0,0.0,8,7,0,0
122854,0,7,0,0,0,0.0,5,5,1,3
90660,2,12,0,1,0,7.0,2,8,3,2
126190,0,7,0,0,0,0.0,9,2,0,0
63601,0,10,0,2,0,5.0,6,5,0,1
116845,1,3,0,1,0,0.0,7,9,2,0
43822,0,5,0,2,0,0.0,4,6,1,1
137498,0,9,0,1,0,2.0,9,5,1,3
139927,0,12,0,3,0,0.0,7,8,2,2
64212,2,5,0,0,2,0.0,6,2,3,0
20624,0,24,0,2,0,0.0,9,6,1,2
143142,0,22,0,6,0,1.0,8,9,2,1
54548,0,8,0,0,0,1.0,10,9,0,0
16653,0,7,0,1,0,0.0,11,9,1,0
59147,0,3,0,0,0,2.0,5,8,2,0
11329,0,2,0,0,0,0.0,9,7,0,0
22865,1,12,0,0,0,0.0,8,7,1,0
55332,0,3,0,0,0,0.0,11,5,0,3
136961,0,15,0,2,0,0.0,9,9,3,2
116766,0,4,0,1,0,2.0,3,2,0,2
104223,0,4,0,1,0,1.0,3,2,3,2
59405,0,5,0,0,0,1.0,6,4,3,0
6810,1,7,0,2,0,0.0,6,5,1,1
128689,0,11,0,0,0,0.0,11,1,0,0
129642,0,14,0,2,0,0.0,8,5,2,2
110070,0,7,0,1,0,1.0,9,9,3,1
73470,0,4,0,0,0,0.0,2,1,0,1
139879,0,12,0,0,0,1.0,5,6,2,0
141763,0,5,0,1,0,0.0,3,3,3,3
142257,0,24,0,1,0,1.0,4,6,2,1
72244,0,8,0,0,0,0.0,2,3,3,1
7361,0,6,0,0,0,0.0,2,4,0,0
105976,0,11,0,2,0,3.0,4,9,1,0
25794,1,9,0,1,0,0.0,5,5,2,1
134080,0,5,0,0,0,0.0,10,5,2,3
97553,0,11,0,1,0,0.0,11,4,3,2
132001,0,20,0,1,0,0.0,8,9,3,1
35888,0,14,0,1,0,1.0,11,3,2,2
83793,4,12,0,0,0,2.0,7,6,3,0
114423,1,8,0,2,0,3.0,10,9,3,1
25144,0,2,1,0,0,0.0,6,3,3,0
14696,0,2,0,0,0,0.0,8,5,2,3
85099,0,10,0,3,0,0.0,10,5,1,3
32889,0,17,0,2,0,0.0,9,7,2,2
130160,0,12,0,2,0,0.0,6,5,0,3
37012,0,7,0,1,0,0.0,12,9,1,0
51200,0,6,0,2,0,0.0,9,9,0,1
50237,0,10,0,2,0,0.0,9,8,1,2
16079,0,5,0,1,0,2.0,5,4,1,1
42543,0,16,0,3,0,1.0,7,9,1,2
89337,0,10,0,2,0,2.0,5,6,0,2
101890,0,12,2,0,0,1.0,4,7,2,0
34211,0,11,0,0,0,0.0,12,4,2,0
99122,0,8,0,1,0,1.0,7,3,0,1
51332,0,10,0,1,0,4.0,6,5,1,2
22638,0,3,0,0,0,0.0,4,3,1,0
81892,0,7,0,2,0,0.0,8,5,3,3
14019,0,12,0,3,0,0.0,9,5,0,3
33160,0,10,0,2,0,0.0,2,0,2,3
89501,0,4,0,0,0,0.0,2,2,2,1
69545,0,6,0,0,0,0.0,12,5,0,3
86145,0,7,0,1,0,0.0,7,7,0,2
122613,0,4,0,1,0,0.0,12,9,0,1
134422,0,6,0,0,0,1.0,3,5,0,3
61072,0,19,0,2,0,2.0,5,9,3,2
130847,1,4,0,1,0,2.0,3,9,3,1
103883,0,6,0,2,0,0.0,9,5,0,3
148317,2,5,0,0,0,1.0,2,4,3,0
18932,0,5,0,1,0,2.0,4,9,2,1
147601,2,24,0,2,1,2.0,8,9,3,3
64563,0,12,0,4,0,0.0,4,4,0,3
83442,0,11,0,2,0,1.0,8,6,2,2
114222,0,17,0,4,0,2.0,8,5,0,3
112855,0,11,0,1,0,0.0,8,9,3,2
5917,0,11,0,0,0,1.0,9,3,2,0
40589,0,6,0,0,0,0.0,1,3,3,0
69389,0,3,0,1,0,0.0,11,2,0,2
123756,0,7,0,2,0,3.0,6,4,0,2
48279,0,6,0,0,2,0.0,11,5,3,2
144935,0,5,0,2,0,0.0,7,8,2,1
74835,0,12,0,1,0,2.0,5,9,2,2
135493,0,4,0,1,0,1.0,11,3,3,2
109949,0,16,0,3,0,2.0,6,6,1,2
89653,0,2,1,0,0,1.0,7,6,3,0
114810,0,4,0,0,1,0.0,6,5,0,3
10406,0,3,0,2,0,0.0,6,5,3,3
39873,0,7,0,1,0,3.0,9,5,2,2
92882,1,10,0,1,0,1.0,6,9,3,2
136435,0,18,0,1,0,1.0,11,4,0,1
31244,1,5,0,0,0,0.0,5,5,2,3
100530,0,5,0,1,0,0.0,9,5,2,3
131889,0,6,0,1,0,0.0,10,5,3,3
119551,1,10,0,0,0,0.0,3,5,3,3
50157,0,16,0,1,0,0.0,7,4,2,2
139132,0,4,0,0,0,0.0,9,5,0,0
27748,0,4,1,0,0,0.0,7,5,3,0
108476,0,18,0,1,0,0.0,10,9,0,0
5256,0,9,0,0,0,2.0,9,2,2,1
58851,1,8,0,1,0,0.0,4,7,2,1
145046,0,18,0,1,0,0.0,9,5,1,3
691,0,7,0,0,0,2.0,9,2,1,0
116595,0,8,0,1,0,2.0,4,3,1,1
81814,0,19,0,0,0,0.0,6,4,1,0
140858,0,9,0,1,0,1.0,11,9,1,0
137048,2,4,0,0,0,0.0,5,4,3,0
84573,0,14,0,1,0,1.0,4,3,1,1
142196,0,5,0,0,0,0.0,7,1,1,0
38522,0,7,0,2,0,0.0,6,5,1,3
68550,0,8,0,1,0,0.0,12,5,0,0
135470,0,14,0,4,0,0.0,9,9,1,2
69524,0,5,0,1,0,0.0,10,4,0,0
140657,0,10,0,5,0,2.0,5,9,2,2
42336,0,19,0,2,0,0.0,8,9,2,2
138604,1,17,0,2,0,3.0,7,9,1,1
48850,0,4,0,0,0,1.0,4,4,1,0
107981,0,19,0,4,1,0.0,10,9,0,1
116291,0,10,0,3,0,5.0,6,5,1,3
49487,0,5,0,0,0,0.0,12,5,0,3
109809,0,8,0,1,0,0.0,9,5,0,3
81446,0,23,0,1,0,0.0,12,3,0,1
144303,2,8,0,2,0,0.0,6,5,3,3
140361,0,2,0,0,0,0.0,3,3,1,0
67121,1,15,0,1,0,0.0,10,5,0,3
463,1,2,2,1,0,1.0,3,5,3,1
43375,0,8,0,1,0,0.0,11,6,1,1
99117,0,9,0,0,0,2.0,2,2,3,1
38362,0,8,0,2,0,3.0,6,5,1,1
103511,0,5,0,2,0,0.0,5,9,2,2
99190,1,23,0,2,0,1.0,8,5,2,2
136002,0,2,0,0,0,0.0,5,3,3,1
66996,0,10,0,2,0,1.0,8,7,0,2
27886,0,12,0,1,0,2.0,4,3,1,2
50433,0,6,0,1,0,2.0,5,8,3,1
36656,0,10,0,0,0,1.0,6,3,2,3
17486,0,5,0,1,0,0.0,12,5,2,3
29685,0,4,0,1,0,0.0,7,5,0,3
132737,0,9,0,4,0,0.0,7,9,2,1
13955,0,5,1,0,0,4.0,4,5,2,0
143267,0,9,0,1,0,0.0,7,2,1,1
72362,3,6,1,0,0,2.0,3,3,3,2
19699,0,9,0,1,0,1.0,8,6,2,2
46244,0,12,0,0,0,0.0,3,6,1,0
8799,1,6,0,2,0,1.0,5,9,1,0
105235,0,1,0,0,0,0.0,1,1,3,0
112358,0,14,0,0,0,3.0,2,8,1,0
55569,0,10,0,2,0,0.0,3,5,1,3
127735,0,6,0,0,0,0.0,10,3,3,1
111316,1,20,0,2,0,0.0,2,9,2,1
121501,0,9,0,2,0,3.0,4,5,2,2
76142,0,5,0,1,0,1.0,4,5,2,2
85214,0,5,0,0,0,0.0,7,0,3,3
96044,0,7,0,1,0,0.0,5,5,0,3
10907,0,2,0,0,0,0.0,12,4,0,0
41783,0,3,0,1,0,1.0,6,9,0,1
74642,0,7,0,2,0,0.0,2,6,1,1
55861,1,2,0,0,0,0.0,1,0,0,0
10723,0,6,0,2,0,0.0,8,5,2,3
74441,1,6,0,0,0,0.0,12,5,0,0
10062,2,3,2,0,0,1.0,5,4,3,2
21475,0,3,0,0,0,0.0,5,5,0,0
46863,2,10,0,1,1,0.0,7,6,2,2
23190,1,5,0,0,0,0.0,4,7,3,0
55245,0,12,0,2,0,1.0,4,4,2,2
94532,0,3,0,0,0,0.0,12,4,1,0
28100,0,7,0,1,0,0.0,6,5,2,3
33276,0,6,0,0,0,0.0,9,9,0,0
40390,0,22,0,0,0,0.0,7,5,1,3
74682,0,12,0,2,0,1.0,7,8,3,2
76207,0,9,0,2,0,0.0,8,1,1,2
88107,2,6,0,1,0,1.0,10,9,1,0
46903,0,7,0,1,0,2.0,5,6,3,0
53612,0,3,0,0,0,1.0,8,3,2,1
84420,0,6,0,1,0,0.0,4,4,1,1
34781,0,6,0,1,0,0.0,10,5,1,3
48731,0,11,0,4,0,0.0,9,9,0,2
93517,0,9,0,1,0,1.0,6,1,2,3
8286,1,8,0,0,0,0.0,7,5,0,0
76401,1,5,0,0,0,0.0,9,3,1,0
61670,0,5,0,0,1,0.0,5,5,2,3
89080,0,7,0,0,0,1.0,7,2,0,0
121857,0,20,0,2,0,0.0,7,9,0,1
48181,0,6,0,1,0,0.0,10,7,0,1
147218,0,8,0,1,0,0.0,8,5,1,3
69528,0,7,0,0,0,0.0,10,4,0,0
76033,0,7,0,0,0,0.0,2,3,0,1
44839,0,13,0,2,0,2.0,8,6,2,2
24597,0,10,0,1,0,0.0,9,4,2,1
81205,0,10,0,1,0,1.0,5,8,1,1
75248,0,12,0,1,0,1.0,3,7,3,1
122940,1,13,0,3,0,0.0,8,7,1,2
36573,0,3,0,2,0,2.0,5,1,1,3
70198,0,15,0,3,0,0.0,7,5,1,3
137898,5,7,1,1,0,5.0,4,4,2,1
75415,0,6,0,2,0,0.0,6,5,1,3
141840,1,10,0,0,1,0.0,4,2,2,2
113251,0,6,0,2,0,0.0,3,6,0,2
33845,0,2,0,0,0,0.0,12,5,1,3
12759,0,10,0,0,0,2.0,6,4,3,2
108166,0,4,0,1,0,2.0,5,2,3,2
90135,1,12,0,0,0,0.0,12,1,0,0
108744,0,5,0,0,0,0.0,5,9,1,0
58044,0,4,0,1,0,0.0,12,5,0,3
134294,0,4,0,1,0,4.0,7,5,0,3
108984,0,6,0,2,0,0.0,5,9,3,1
104522,1,11,0,2,0,0.0,9,5,3,2
128075,0,0,0,0,0,0.0,9,5,3,0
97134,0,10,0,1,0,1.0,6,9,2,0
47436,0,17,0,3,0,3.0,7,6,3,3
99313,0,12,0,2,0,3.0,6,9,2,1
134367,0,9,0,0,0,0.0,8,5,0,3
105319,1,5,0,1,0,0.0,4,3,1,2
85511,0,16,0,4,0,0.0,8,6,0,2
114974,0,4,0,0,0,3.0,6,4,0,0
73222,0,14,0,1,0,0.0,3,9,1,1
149412,0,11,0,1,0,1.0,7,5,3,2
18989,0,7,0,0,0,3.0,5,8,3,1
52188,0,6,0,1,0,2.0,3,6,3,2
140357,3,2,1,0,1,2.0,4,1,3,2
28359,3,12,0,1,0,0.0,4,5,3,3
23321,0,17,0,2,0,2.0,6,9,0,0
110288,1,4,0,0,0,0.0,8,4,1,0
93923,0,2,0,0,0,0.0,10,5,3,3
107581,0,2,0,0,0,0.0,12,5,0,3
142224,0,7,0,1,0,5.0,6,7,0,1
52135,0,5,0,0,0,1.0,6,6,2,0
8284,0,8,0,1,0,2.0,6,5,0,3
101645,0,4,1,0,0,0.0,2,4,3,0
140233,0,2,0,0,0,0.0,11,1,3,0
36478,0,15,0,2,0,0.0,7,3,1,2
58132,0,7,0,2,0,0.0,5,9,1,2
128765,0,7,0,0,0,0.0,2,5,1,3
102520,0,3,0,1,0,1.0,5,9,0,2
64813,0,4,0,1,0,0.0,7,5,0,3
147178,0,9,0,2,1,0.0,5,5,2,3
140151,0,15,0,1,0,2.0,6,3,0,1
139534,0,22,0,2,0,0.0,9,7,3,2
34383,0,11,0,2,0,0.0,6,5,0,3
82163,0,6,0,0,0,0.0,8,5,2,3
5732,1,13,0,1,0,1.0,7,1,3,3
14635,0,8,0,2,0,2.0,2,0,2,3
8803,0,16,0,2,0,2.0,6,9,2,2
29305,0,14,0,0,0,0.0,7,5,0,0
142252,1,5,0,3,1,0.0,12,2,3,3
104258,0,10,0,2,0,0.0,3,6,1,2
118108,0,3,0,1,0,2.0,9,9,1,0
56394,0,3,0,1,0,0.0,8,5,0,3
108205,0,13,0,1,0,0.0,6,6,0,1
93583,0,13,0,2,0,1.0,7,8,3,2
66080,0,8,0,1,0,0.0,4,6,0,1
26025,0,3,0,0,0,0.0,6,5,2,0
20627,0,12,0,2,0,1.0,9,9,3,2
110898,1,3,0,0,0,3.0,4,9,1,0
67112,0,19,0,1,0,0.0,12,5,0,3
138495,0,4,0,0,0,0.0,7,5,2,3
94829,0,0,1,0,0,0.0,1,5,3,0
85460,0,10,0,0,0,0.0,7,1,2,3
126775,0,3,0,1,0,0.0,9,9,1,0
43536,1,12,0,1,0,2.0,8,7,2,1
128644,0,7,1,2,0,2.0,8,5,0,3
3322,3,12,0,3,4,3.0,6,3,3,3
60235,1,6,0,1,0,0.0,7,5,2,3
86673,0,17,0,0,0,0.0,8,9,0,0
149119,0,7,0,0,0,2.0,4,4,2,1
75320,0,4,0,0,0,0.0,11,5,0,3
27991,0,11,0,0,0,0.0,3,5,1,0
1776,0,7,0,3,0,0.0,5,5,2,3
97119,0,6,0,1,0,0.0,10,9,2,2
14364,0,6,0,1,0,0.0,10,5,2,3
21975,0,12,0,1,0,0.0,9,9,1,1
146966,0,12,0,2,0,2.0,4,7,0,1
118238,2,10,0,0,0,0.0,2,2,3,1
124802,0,13,0,0,0,0.0,12,7,1,0
95563,0,27,0,1,1,3.0,4,9,2,1
36413,0,9,0,0,0,0.0,10,5,1,3
5821,0,13,0,2,0,2.0,6,9,0,2
128943,0,4,1,1,0,0.0,10,9,0,1
6817,1,9,0,2,0,3.0,6,6,2,2
72817,1,6,0,1,0,2.0,6,5,2,1
13486,1,3,0,1,1,0.0,6,4,3,2
131996,0,11,0,2,0,3.0,6,3,3,3
77051,1,2,0,1,0,5.0,8,2,3,2
35007,0,14,0,2,0,2.0,2,3,3,2
149735,1,23,0,1,0,3.0,6,5,1,2
19229,0,10,0,0,0,3.0,7,7,1,0
133705,0,1,0,0,0,0.0,10,5,1,3
122169,0,14,0,1,0,1.0,9,8,1,1
26650,0,9,0,2,0,0.0,9,5,0,3
79271,0,2,0,0,0,2.0,4,2,0,0
101324,2,17,0,3,0,0.0,7,4,2,2
136483,0,7,0,1,0,0.0,8,9,0,0
113386,0,4,0,1,0,3.0,6,4,3,1
9424,0,8,0,1,0,0.0,9,3,2,2
122261,0,7,0,1,0,0.0,9,3,1,2
6744,0,4,0,0,0,0.0,12,2,0,0
47926,0,9,0,1,0,2.0,6,6,3,2
62491,1,13,0,2,0,1.0,10,9,3,1
42037,0,5,0,0,0,0.0,2,3,3,1
134784,0,5,0,2,0,2.0,6,9,1,1
84628,1,5,0,1,0,1.0,2,5,3,0
126039,0,9,0,0,0,0.0,11,0,0,3
126913,1,23,0,5,0,2.0,4,8,3,3
109415,0,8,0,0,0,1.0,9,8,2,0
3744,0,11,0,0,0,0.0,7,9,0,1
55695,0,19,0,3,0,0.0,11,4,0,2
84389,0,13,0,3,0,0.0,11,9,0,2
9466,0,2,0,0,0,0.0,9,7,1,0
80173,0,10,0,2,0,1.0,10,6,1,2
54620,0,4,0,2,0,3.0,7,9,2,1
65386,0,7,0,0,0,0.0,7,4,3,0
52438,0,6,0,2,1,0.0,5,8,1,2
61715,0,4,0,0,0,0.0,1,1,3,0
67699,0,15,0,0,0,0.0,10,8,1,0
39706,0,2,0,0,0,0.0,11,5,3,3
124493,0,12,0,2,0,0.0,8,5,0,3
103248,0,4,0,1,0,1.0,6,7,1,1
17925,0,10,0,2,0,0.0,9,5,1,2
14840,0,14,0,1,0,0.0,7,5,0,3
127248,1,22,0,1,0,0.0,12,6,3,2
2204,0,4,0,0,0,0.0,6,4,3,0
32296,0,5,0,0,0,0.0,12,4,0,0
77117,0,12,0,3,0,2.0,4,9,2,2
76681,0,20,0,3,0,0.0,7,5,2,2
6827,1,12,0,1,0,1.0,10,8,2,1
22787,0,13,0,3,0,0.0,9,2,1,3
33186,1,7,0,1,0,0.0,6,5,3,3
33653,0,12,0,2,0,1.0,4,7,1,2
75675,0,23,0,2,0,0.0,10,9,2,1
102504,1,7,0,1,0,3.0,5,9,3,0
118470,8,14,0,7,0,4.0,3,9,0,2
141697,0,4,0,0,0,0.0,9,4,0,0
114833,0,6,0,1,0,4.0,10,9,1,1
88263,0,8,0,0,0,0.0,2,3,1,0
121159,0,11,0,2,0,1.0,4,7,2,2
4462,0,5,0,1,0,0.0,4,5,1,1
145779,0,11,0,0,0,1.0,4,3,2,1
98286,0,15,0,2,0,4.0,6,8,0,1
30761,0,10,0,2,0,3.0,3,5,1,3
64436,0,6,0,2,0,0.0,4,3,1,3
142944,0,11,0,2,0,1.0,3,6,2,2
125082,0,10,0,0,0,0.0,2,4,2,0
149326,0,7,0,2,0,0.0,3,5,2,3
143686,0,2,0,0,0,0.0,8,5,0,0
81778,0,10,0,2,0,3.0,7,9,3,1
36539,0,12,0,1,0,0.0,3,2,2,2
42700,0,9,0,1,0,1.0,11,9,1,1
76925,0,9,0,1,0,0.0,6,9,0,1
59976,0,2,0,0,0,1.0,12,2,0,0
89066,0,9,0,5,0,0.0,4,4,0,3
15516,0,3,0,0,0,0.0,12,5,0,3
91920,0,5,0,1,0,0.0,3,3,1,2
89596,3,14,0,1,0,3.0,6,3,2,2
46117,0,10,0,2,0,1.0,8,2,3,3
107785,0,2,0,0,0,1.0,11,3,0,0
14772,1,15,0,2,0,0.0,11,8,0,2
30151,0,6,0,1,0,1.0,6,4,0,1
44310,0,17,0,3,0,1.0,6,7,2,2
71910,0,21,0,2,0,1.0,7,6,2,2
133488,0,5,0,0,0,1.0,5,9,2,0
21607,0,5,0,0,0,0.0,8,5,1,3
19547,0,8,0,1,0,1.0,8,7,1,1
59760,0,8,0,1,0,3.0,7,6,0,2
100897,0,7,0,1,0,0.0,3,5,2,2
58107,3,15,0,9,0,0.0,11,3,3,3
56633,0,16,0,2,0,2.0,6,6,1,1
118572,0,15,0,1,0,0.0,9,5,0,3
21825,0,6,0,3,0,0.0,5,5,1,3
94783,0,5,0,1,0,0.0,6,5,1,3
74722,0,4,0,0,0,0.0,2,1,1,2
37456,0,3,0,1,0,2.0,5,1,3,3
102257,1,11,0,2,0,0.0,8,9,1,1
87919,0,13,0,2,0,0.0,4,7,0,2
106154,1,14,0,8,0,0.0,10,5,0,3
102121,0,5,0,0,0,1.0,5,5,1,0
136171,0,6,0,1,0,0.0,12,7,2,0
57181,0,3,0,0,0,4.0,9,3,1,0
67674,0,5,0,0,0,0.0,2,5,0,3
18970,0,8,0,1,0,1.0,9,4,0,2
22917,0,9,0,0,0,2.0,6,3,1,0
73983,0,8,0,2,0,1.0,5,2,0,3
15591,0,14,0,2,0,3.0,8,2,2,3
64945,0,5,0,0,0,2.0,7,4,2,0
19455,0,8,0,1,0,1.0,6,8,2,1
131541,0,3,0,0,0,0.0,1,3,3,0
37783,1,8,0,2,0,1.0,5,6,2,2
12582,0,17,0,1,0,0.0,10,8,0,0
144967,1,3,1,0,1,0.0,1,5,3,3
27146,0,6,0,1,0,0.0,8,4,0,0
65390,0,7,0,2,0,3.0,5,5,0,2
76053,0,12,0,1,0,0.0,2,3,1,2
112039,0,3,0,0,0,0.0,12,0,0,3
149091,0,0,0,0,0,0.0,1,5,3,3
53220,0,26,0,3,0,3.0,7,7,0,1
121367,0,16,0,2,0,1.0,6,5,2,2
2471,0,14,0,2,0,1.0,4,6,1,2
54379,0,9,0,1,0,0.0,9,1,1,3
146372,1,4,1,0,0,0.0,5,0,3,3
131120,0,13,0,2,0,0.0,10,4,2,2
66032,0,6,0,1,0,0.0,10,5,3,3
127543,1,10,0,1,0,0.0,4,2,1,2
134304,0,24,0,2,0,0.0,6,5,2,3
10798,0,7,0,0,0,0.0,3,5,0,0
57965,0,3,0,0,0,0.0,2,4,3,0
67892,0,6,0,0,0,0.0,7,1,3,2
53781,0,5,0,0,0,0.0,3,2,2,0
20798,1,5,0,0,0,0.0,3,4,2,1
3040,0,3,1,0,0,0.0,2,2,3,0
6769,0,7,0,1,0,2.0,9,5,2,1
19164,1,5,0,0,0,1.0,6,5,1,0
69346,0,6,0,2,0,2.0,8,5,3,2
115426,0,9,0,1,0,0.0,3,5,2,2
78196,0,7,0,2,0,0.0,5,7,1,1
36155,3,12,0,1,1,1.0,5,2,3,2
102165,0,12,0,1,0,1.0,4,7,1,1
68341,0,6,0,2,0,4.0,8,3,1,1
140970,0,3,0,2,0,0.0,8,6,1,1
75751,1,10,0,2,0,2.0,5,4,3,2
42825,0,8,0,1,0,0.0,8,5,2,1
17749,0,17,0,1,0,0.0,7,8,0,1
44086,0,13,0,6,0,0.0,4,9,0,2
7504,0,8,0,2,0,0.0,5,5,0,3
88894,0,7,0,0,0,0.0,11,5,0,0
104525,0,5,0,0,0,0.0,11,7,1,1
148314,0,5,0,0,0,0.0,11,3,2,0
6503,0,10,0,1,0,0.0,9,9,0,0
83018,0,6,0,1,0,0.0,3,6,0,2
134461,0,7,0,2,0,0.0,4,5,0,3
18852,0,11,0,0,0,0.0,11,3,1,0
93573,0,3,0,1,0,0.0,10,6,0,0
144387,0,3,0,0,0,0.0,12,5,0,3
65630,0,18,0,10,0,3.0,6,5,1,3
35224,0,1,2,0,0,0.0,6,5,3,3
2397,0,8,0,0,0,0.0,12,5,0,3
29124,0,14,0,1,0,2.0,7,4,2,2
148218,0,8,0,0,0,0.0,10,5,1,3
35268,0,7,0,1,0,0.0,10,5,3,3
140009,0,9,0,2,0,3.0,7,6,1,2
41903,0,12,0,4,0,2.0,4,8,2,2
20941,0,15,0,1,0,1.0,10,5,0,2
23285,0,8,0,1,0,0.0,8,1,0,2
112284,1,9,0,0,0,0.0,2,4,3,1
7535,0,18,0,1,0,1.0,7,9,2,1
5457,1,7,0,0,0,1.0,6,9,1,0
148876,0,7,0,0,0,0.0,2,0,0,3
13465,0,13,0,0,0,0.0,10,9,0,0
104287,0,9,0,0,0,1.0,11,4,2,1
87517,0,9,0,1,0,2.0,4,5,0,3
149943,0,9,0,2,0,1.0,8,9,2,2
